n,p,optimizer,epochs,batch_size,device,jit,latent,n_layers,time1,time2,loss
2000,500,adam,20,16,cpu,True,100,1,1.075165033340454,2.156155586242676,0.03169828653335571
2000,500,adam,20,16,cpu,True,100,10,3.762831449508667,7.931907653808594,21.58545684814453
2000,500,adam,20,16,cpu,True,100,20,,,
2000,500,adam,20,16,cpu,True,1000,1,,,
2000,500,adam,20,16,cpu,True,1000,10,,,
2000,500,adam,20,16,cpu,True,1000,20,,,
2000,500,adam,20,16,cpu,False,100,1,,,
2000,500,adam,20,16,cpu,False,100,10,,,
2000,500,adam,20,16,cpu,False,100,20,,,
2000,500,adam,20,16,cpu,False,1000,1,,,
2000,500,adam,20,16,cpu,False,1000,10,,,
2000,500,adam,20,16,cpu,False,1000,20,,,
2000,500,adam,20,16,cuda,True,100,1,,,
2000,500,adam,20,16,cuda,True,100,10,,,
2000,500,adam,20,16,cuda,True,100,20,,,
2000,500,adam,20,16,cuda,True,1000,1,,,
2000,500,adam,20,16,cuda,True,1000,10,,,
2000,500,adam,20,16,cuda,True,1000,20,,,
2000,500,adam,20,16,cuda,False,100,1,,,
2000,500,adam,20,16,cuda,False,100,10,,,
2000,500,adam,20,16,cuda,False,100,20,,,
2000,500,adam,20,16,cuda,False,1000,1,,,
2000,500,adam,20,16,cuda,False,1000,10,,,
2000,500,adam,20,16,cuda,False,1000,20,,,
2000,500,adam,20,256,cpu,True,100,1,,,
2000,500,adam,20,256,cpu,True,100,10,,,
2000,500,adam,20,256,cpu,True,100,20,,,
2000,500,adam,20,256,cpu,True,1000,1,,,
2000,500,adam,20,256,cpu,True,1000,10,,,
2000,500,adam,20,256,cpu,True,1000,20,,,
2000,500,adam,20,256,cpu,False,100,1,,,
2000,500,adam,20,256,cpu,False,100,10,,,
2000,500,adam,20,256,cpu,False,100,20,,,
2000,500,adam,20,256,cpu,False,1000,1,,,
2000,500,adam,20,256,cpu,False,1000,10,,,
2000,500,adam,20,256,cpu,False,1000,20,,,
2000,500,adam,20,256,cuda,True,100,1,,,
2000,500,adam,20,256,cuda,True,100,10,,,
2000,500,adam,20,256,cuda,True,100,20,,,
2000,500,adam,20,256,cuda,True,1000,1,,,
2000,500,adam,20,256,cuda,True,1000,10,,,
2000,500,adam,20,256,cuda,True,1000,20,,,
2000,500,adam,20,256,cuda,False,100,1,,,
2000,500,adam,20,256,cuda,False,100,10,,,
2000,500,adam,20,256,cuda,False,100,20,,,
2000,500,adam,20,256,cuda,False,1000,1,,,
2000,500,adam,20,256,cuda,False,1000,10,,,
2000,500,adam,20,256,cuda,False,1000,20,,,
2000,500,adam,20,512,cpu,True,100,1,,,
2000,500,adam,20,512,cpu,True,100,10,,,
2000,500,adam,20,512,cpu,True,100,20,,,
2000,500,adam,20,512,cpu,True,1000,1,,,
2000,500,adam,20,512,cpu,True,1000,10,,,
2000,500,adam,20,512,cpu,True,1000,20,,,
2000,500,adam,20,512,cpu,False,100,1,,,
2000,500,adam,20,512,cpu,False,100,10,,,
2000,500,adam,20,512,cpu,False,100,20,,,
2000,500,adam,20,512,cpu,False,1000,1,,,
2000,500,adam,20,512,cpu,False,1000,10,,,
2000,500,adam,20,512,cpu,False,1000,20,,,
2000,500,adam,20,512,cuda,True,100,1,,,
2000,500,adam,20,512,cuda,True,100,10,,,
2000,500,adam,20,512,cuda,True,100,20,,,
2000,500,adam,20,512,cuda,True,1000,1,,,
2000,500,adam,20,512,cuda,True,1000,10,,,
2000,500,adam,20,512,cuda,True,1000,20,,,
2000,500,adam,20,512,cuda,False,100,1,,,
2000,500,adam,20,512,cuda,False,100,10,,,
2000,500,adam,20,512,cuda,False,100,20,,,
2000,500,adam,20,512,cuda,False,1000,1,,,
2000,500,adam,20,512,cuda,False,1000,10,,,
2000,500,adam,20,512,cuda,False,1000,20,,,
2000,500,sgd,20,16,cpu,True,100,1,,,
2000,500,sgd,20,16,cpu,True,100,10,,,
2000,500,sgd,20,16,cpu,True,100,20,,,
2000,500,sgd,20,16,cpu,True,1000,1,,,
2000,500,sgd,20,16,cpu,True,1000,10,,,
2000,500,sgd,20,16,cpu,True,1000,20,,,
2000,500,sgd,20,16,cpu,False,100,1,,,
2000,500,sgd,20,16,cpu,False,100,10,,,
2000,500,sgd,20,16,cpu,False,100,20,,,
2000,500,sgd,20,16,cpu,False,1000,1,,,
2000,500,sgd,20,16,cpu,False,1000,10,,,
2000,500,sgd,20,16,cpu,False,1000,20,,,
2000,500,sgd,20,16,cuda,True,100,1,,,
2000,500,sgd,20,16,cuda,True,100,10,,,
2000,500,sgd,20,16,cuda,True,100,20,,,
2000,500,sgd,20,16,cuda,True,1000,1,,,
2000,500,sgd,20,16,cuda,True,1000,10,,,
2000,500,sgd,20,16,cuda,True,1000,20,,,
2000,500,sgd,20,16,cuda,False,100,1,,,
2000,500,sgd,20,16,cuda,False,100,10,,,
2000,500,sgd,20,16,cuda,False,100,20,,,
2000,500,sgd,20,16,cuda,False,1000,1,,,
2000,500,sgd,20,16,cuda,False,1000,10,,,
2000,500,sgd,20,16,cuda,False,1000,20,,,
2000,500,sgd,20,256,cpu,True,100,1,,,
2000,500,sgd,20,256,cpu,True,100,10,,,
2000,500,sgd,20,256,cpu,True,100,20,,,
2000,500,sgd,20,256,cpu,True,1000,1,,,
2000,500,sgd,20,256,cpu,True,1000,10,,,
2000,500,sgd,20,256,cpu,True,1000,20,,,
2000,500,sgd,20,256,cpu,False,100,1,,,
2000,500,sgd,20,256,cpu,False,100,10,,,
2000,500,sgd,20,256,cpu,False,100,20,,,
2000,500,sgd,20,256,cpu,False,1000,1,,,
2000,500,sgd,20,256,cpu,False,1000,10,,,
2000,500,sgd,20,256,cpu,False,1000,20,,,
2000,500,sgd,20,256,cuda,True,100,1,,,
2000,500,sgd,20,256,cuda,True,100,10,,,
2000,500,sgd,20,256,cuda,True,100,20,,,
2000,500,sgd,20,256,cuda,True,1000,1,,,
2000,500,sgd,20,256,cuda,True,1000,10,,,
2000,500,sgd,20,256,cuda,True,1000,20,,,
2000,500,sgd,20,256,cuda,False,100,1,,,
2000,500,sgd,20,256,cuda,False,100,10,,,
2000,500,sgd,20,256,cuda,False,100,20,,,
2000,500,sgd,20,256,cuda,False,1000,1,,,
2000,500,sgd,20,256,cuda,False,1000,10,,,
2000,500,sgd,20,256,cuda,False,1000,20,,,
2000,500,sgd,20,512,cpu,True,100,1,,,
2000,500,sgd,20,512,cpu,True,100,10,,,
2000,500,sgd,20,512,cpu,True,100,20,,,
2000,500,sgd,20,512,cpu,True,1000,1,,,
2000,500,sgd,20,512,cpu,True,1000,10,,,
2000,500,sgd,20,512,cpu,True,1000,20,,,
2000,500,sgd,20,512,cpu,False,100,1,,,
2000,500,sgd,20,512,cpu,False,100,10,,,
2000,500,sgd,20,512,cpu,False,100,20,,,
2000,500,sgd,20,512,cpu,False,1000,1,,,
2000,500,sgd,20,512,cpu,False,1000,10,,,
2000,500,sgd,20,512,cpu,False,1000,20,,,
2000,500,sgd,20,512,cuda,True,100,1,,,
2000,500,sgd,20,512,cuda,True,100,10,,,
2000,500,sgd,20,512,cuda,True,100,20,,,
2000,500,sgd,20,512,cuda,True,1000,1,,,
2000,500,sgd,20,512,cuda,True,1000,10,,,
2000,500,sgd,20,512,cuda,True,1000,20,,,
2000,500,sgd,20,512,cuda,False,100,1,,,
2000,500,sgd,20,512,cuda,False,100,10,,,
2000,500,sgd,20,512,cuda,False,100,20,,,
2000,500,sgd,20,512,cuda,False,1000,1,,,
2000,500,sgd,20,512,cuda,False,1000,10,,,
2000,500,sgd,20,512,cuda,False,1000,20,,,
